2020-09-14T04:58:09.791+0000 I CONTROL  [initandlisten] MongoDB starting : pid=8974 port=27017 dbpath=/var/www/denzelawuah.com/data 64-bit host=denzelswebsitedroplet
2020-11-18T06:57:47.853+0000 I NETWORK  [conn38] received client metadata from 127.0.0.1:49418 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-18T06:57:47.891+0000 I NETWORK  [conn38] end connection 127.0.0.1:49418 (0 connections now open)
2020-11-19T17:35:17.921+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:49544 #39 (1 connection now open)
2020-11-19T17:35:17.922+0000 I NETWORK  [conn39] received client metadata from 127.0.0.1:49544 conn: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.3" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "18.04" } }
2020-11-19T17:42:54.307+0000 I NETWORK  [conn39] end connection 127.0.0.1:49544 (0 connections now open)
2020-11-20T02:01:42.935+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:49708 #40 (1 connection now open)
2020-11-20T02:01:42.945+0000 I NETWORK  [conn40] received client metadata from 127.0.0.1:49708 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-20T02:01:42.998+0000 I NETWORK  [conn40] end connection 127.0.0.1:49708 (0 connections now open)
2020-11-22T05:29:13.169+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:50016 #41 (1 connection now open)
2020-11-22T05:29:13.179+0000 I NETWORK  [conn41] received client metadata from 127.0.0.1:50016 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-22T05:29:13.236+0000 I NETWORK  [conn41] end connection 127.0.0.1:50016 (0 connections now open)
2020-11-24T07:02:39.516+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:50482 #42 (1 connection now open)
2020-11-24T07:02:39.530+0000 I NETWORK  [conn42] received client metadata from 127.0.0.1:50482 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-24T07:02:39.610+0000 I NETWORK  [conn42] end connection 127.0.0.1:50482 (0 connections now open)
2020-11-24T16:16:31.799+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:50580 #43 (1 connection now open)
2020-11-24T16:16:31.800+0000 I NETWORK  [conn43] received client metadata from 127.0.0.1:50580 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-24T16:16:31.812+0000 I NETWORK  [conn43] end connection 127.0.0.1:50580 (0 connections now open)
2020-11-25T02:15:03.539+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:50632 #44 (1 connection now open)
2020-11-25T02:15:03.540+0000 I NETWORK  [conn44] received client metadata from 127.0.0.1:50632 conn: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.3" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "18.04" } }
2020-11-25T02:15:37.202+0000 I NETWORK  [conn44] end connection 127.0.0.1:50632 (0 connections now open)
2020-11-26T12:20:36.377+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:50962 #45 (1 connection now open)
2020-11-26T12:20:36.387+0000 I NETWORK  [conn45] received client metadata from 127.0.0.1:50962 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
2020-11-26T12:20:36.428+0000 I NETWORK  [conn45] end connection 127.0.0.1:50962 (0 connections now open)
2020-11-28T17:28:07.000+0000 I NETWORK  [listener] connection accepted from 127.0.0.1:51652 #46 (1 connection now open)
2020-11-28T17:28:07.013+0000 I NETWORK  [conn46] received client metadata from 127.0.0.1:51652 conn: { driver: { name: "nodejs", version: "3.6.2" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.15.0-108-generic" }, platform: "'Node.js v12.18.1, LE (legacy)" }
